ticker,week_monday,gap_type,method,imputed_value
INTC,2015-09-21,A,forward_fill,0.2182415
INTC,2015-12-07,B,linear_interpolation,-0.07628754166666668
INTC,2015-12-14,B,linear_interpolation,-0.044401083333333355
INTC,2015-12-21,B,linear_interpolation,-0.01251462500000003
INTC,2016-02-01,A,forward_fill,0.517415
INTC,2016-02-15,A,forward_fill,-0.113381
INTC,2016-07-11,A,forward_fill,-0.677266
INTC,2016-10-03,A,forward_fill,0.1819059999999999
INTC,2016-11-07,A,forward_fill,-0.3104468333333334
INTC,2016-12-19,A,forward_fill,-0.1246765
INTC,2016-12-26,A,forward_fill,-0.1246765
INTC,2017-04-10,A,forward_fill,-0.1829866111111111
INTC,2017-06-26,A,forward_fill,-0.06571275
INTC,2017-09-11,A,forward_fill,-0.05587375
INTC,2017-12-04,A,forward_fill,0.291233125
INTC,2017-12-18,A,forward_fill,0.3117066666666667
INTC,2018-11-19,A,forward_fill,0.56125275
INTC,2018-12-31,A,forward_fill,0.6871
INTC,2019-12-23,A,forward_fill,0.2594493
INTC,2020-02-03,A,forward_fill,0.4621595
INTC,2020-03-16,A,forward_fill,-0.7813286666666667
INTC,2020-04-13,A,forward_fill,0.25220875
INTC,2020-05-25,A,forward_fill,0.1498740833333333
INTC,2021-08-30,A,forward_fill,0.917078
INTC,2021-11-08,B,linear_interpolation,-0.11535575
INTC,2021-11-15,B,linear_interpolation,-0.240433
INTC,2021-11-22,B,linear_interpolation,-0.36551025
INTC,2022-02-28,A,forward_fill,-0.0228500666666666
INTC,2022-05-02,A,forward_fill,-0.939829
INTC,2022-05-23,A,forward_fill,-0.0311823999999999
INTC,2022-12-12,A,forward_fill,-0.1859510555555555
INTC,2023-05-15,A,forward_fill,0.0113119166666666
INTC,2024-01-15,A,forward_fill,0.5293788749999999
INTC,2024-03-04,A,forward_fill,0.0704579999999999
INTC,2024-07-08,A,forward_fill,0.3776235
INTC,2024-12-16,A,forward_fill,-0.2971187
INTC,2025-01-20,A,forward_fill,0.2051026333333333
INTC,2025-02-03,A,forward_fill,-0.4006057249999999
INTC,2025-06-02,A,forward_fill,0.28418
INTC,2025-11-03,A,forward_fill,-0.3259736
INTC,2025-11-17,A,forward_fill,-0.0505813333333333
MCD,2015-01-12,A,forward_fill,-0.2348516666666666
MCD,2015-02-16,A,forward_fill,-0.4569672222222222
MCD,2015-03-16,A,forward_fill,-0.4091487954545454
MCD,2015-03-23,A,forward_fill,-0.4091487954545454
MCD,2015-05-11,A,forward_fill,0.0960343452380952
MCD,2015-09-21,A,forward_fill,0.472033
MCD,2015-10-05,A,forward_fill,0.464587
MCD,2015-12-14,A,forward_fill,-0.665921
MCD,2015-12-28,A,forward_fill,-0.410006
MCD,2016-01-04,A,forward_fill,-0.410006
MCD,2016-02-22,A,forward_fill,0.804956
MCD,2016-03-21,A,forward_fill,-0.006932
MCD,2016-05-09,A,forward_fill,0.482444
MCD,2016-05-30,A,forward_fill,0.1021217
MCD,2016-06-06,A,forward_fill,0.1021217
MCD,2016-11-07,A,forward_fill,-0.0753475
MCD,2016-12-12,A,forward_fill,0.2654926666666666
MCD,2016-12-26,A,forward_fill,-0.891748
MCD,2017-01-02,A,forward_fill,-0.891748
MCD,2017-02-13,A,forward_fill,-0.012162
MCD,2017-05-08,A,forward_fill,-0.19640854
MCD,2017-07-03,A,forward_fill,-0.5828027333333333
MCD,2017-07-31,A,forward_fill,0.42487775
MCD,2017-11-06,A,forward_fill,0.002227
MCD,2017-11-27,A,forward_fill,0.139214
MCD,2017-12-11,B,linear_interpolation,0.20592783333333337
MCD,2017-12-18,B,linear_interpolation,0.15048100000000003
MCD,2017-12-25,B,linear_interpolation,0.0950341666666667
MCD,2018-01-01,B,linear_interpolation,0.03958733333333336
MCD,2018-04-09,A,forward_fill,-0.1497639999999999
MCD,2018-04-23,A,forward_fill,-0.38466625
MCD,2018-05-07,A,forward_fill,0.6129121428571429
MCD,2018-05-14,A,forward_fill,0.6129121428571429
MCD,2018-05-28,A,forward_fill,-0.311624
MCD,2018-06-18,A,forward_fill,0.0940564523809523
MCD,2018-07-02,A,forward_fill,-0.563929
MCD,2018-08-20,A,forward_fill,0.5658147
MCD,2018-09-03,A,forward_fill,-0.318443
MCD,2018-10-08,A,forward_fill,-0.3538891
MCD,2018-10-15,A,forward_fill,-0.3538891
MCD,2018-10-29,B,linear_interpolation,0.5737282040816326
MCD,2018-11-05,B,linear_interpolation,0.5764828367346939
MCD,2018-11-12,B,linear_interpolation,0.5792374693877551
MCD,2018-11-19,B,linear_interpolation,0.5819921020408163
MCD,2018-11-26,B,linear_interpolation,0.5847467346938775
MCD,2018-12-03,B,linear_interpolation,0.5875013673469388
MCD,2018-12-17,A,forward_fill,0.590256
MCD,2019-01-07,A,forward_fill,-0.2754005
MCD,2019-01-21,A,forward_fill,-0.7540903333333334
MCD,2019-02-04,A,forward_fill,0.1731831875
MCD,2019-03-11,A,forward_fill,0.3390015
MCD,2019-03-18,A,forward_fill,0.3390015
MCD,2019-04-08,A,forward_fill,-0.117714
MCD,2019-04-22,A,forward_fill,-0.789496
MCD,2019-06-17,A,forward_fill,0.158662
MCD,2019-07-01,A,forward_fill,0.5812938
MCD,2019-07-15,A,forward_fill,-0.0460626249999999
MCD,2019-08-05,A,forward_fill,0.01366
MCD,2019-08-26,A,forward_fill,0.0379235
MCD,2019-09-02,A,forward_fill,0.0379235
MCD,2019-10-14,A,forward_fill,0.620417
MCD,2019-12-30,A,forward_fill,-0.946161
MCD,2020-01-13,A,forward_fill,-0.261078875
MCD,2020-01-20,A,forward_fill,-0.261078875
MCD,2020-02-03,B,linear_interpolation,0.7106461607142858
MCD,2020-02-10,B,linear_interpolation,0.5520183214285714
MCD,2020-02-17,B,linear_interpolation,0.39339048214285716
MCD,2020-02-24,B,linear_interpolation,0.23476264285714288
MCD,2020-03-02,B,linear_interpolation,0.07613480357142854
MCD,2020-03-09,B,linear_interpolation,-0.08249303571428568
MCD,2020-04-20,A,forward_fill,-0.837321
MCD,2020-06-01,A,forward_fill,0.674091
MCD,2020-07-06,A,forward_fill,-0.3392159444444445
MCD,2020-07-13,A,forward_fill,-0.3392159444444445
MCD,2020-08-03,A,forward_fill,-0.8316115833333333
MCD,2020-09-14,A,forward_fill,-0.471419
MCD,2020-11-16,A,forward_fill,0.3057037142857142
MCD,2020-11-23,A,forward_fill,0.3057037142857142
MCD,2020-12-21,A,forward_fill,-0.2575601111111111
MCD,2020-12-28,A,forward_fill,-0.2575601111111111
MCD,2021-02-08,A,forward_fill,-0.7286345000000001
MCD,2021-03-08,A,forward_fill,0.2559903888888888
MCD,2021-04-12,A,forward_fill,-0.6598746666666667
MCD,2021-04-19,A,forward_fill,-0.6598746666666667
MCD,2021-05-03,A,forward_fill,0.25867975
MCD,2021-05-24,A,forward_fill,-0.4272476666666667
MCD,2021-06-21,A,forward_fill,0.61601
MCD,2021-07-19,A,forward_fill,0.01467
MCD,2021-08-30,A,forward_fill,-0.8639595
MCD,2021-09-06,A,forward_fill,-0.8639595
MCD,2021-09-27,A,forward_fill,0.4117786249999999
MCD,2021-11-01,A,forward_fill,0.0796850555555555
MCD,2021-11-15,B,linear_interpolation,-0.9221346444444445
MCD,2021-11-22,B,linear_interpolation,-0.8536672888888889
MCD,2021-11-29,B,linear_interpolation,-0.7851999333333334
MCD,2021-12-06,B,linear_interpolation,-0.7167325777777778
